Model Name,Model Training Features
Random Forest_model_2023-03-30_22-53-50.pkl,"Bid Volume,macd_hist Cumulative Volume - Day,macd_hist Finish AskVol BidVol Diff,macd HLC Avg,macd_hist Cumulative Sum Of Ask Volume Bid Volume Difference - Day,Diagonal Negative Delta Sum,macd_signal Cumulative Volume - Day,macd_signal Cumulative Sum Of Ask Volume Bid Volume Difference - Day,macd_hist Ask Volume Bid Volume Difference Per Tick,macd Diagonal Negative Delta Sum,macd_hist Bid Volume,Cumulative Sum Of Ask Volume Bid Volume Difference - Day,macd_signal Diagonal Negative Delta Sum,macd Cumulative Sum Of Ask Volume Bid Volume Difference - Day,macd Cumulative Volume - Day,macd_signal Bid Volume Percent,macd_hist Close,macd_hist HLC Avg,macd_signal Finish AskVol BidVol Diff,macd_hist Bid Volume Percent,macd_signal Ask Volume Bid Volume Difference Per Tick,macd_signal Average Ask Volume per Price,macd Finish AskVol BidVol Diff,Average Ask Volume per Price,macd Ask Volume Bid Volume Difference Per Tick,macd_hist Average Ask Volume per Price,macd_signal Ask Volume,macd_signal HLC Avg,macd_hist Diagonal Negative Delta Sum,macd_hist Ask Volume,macd_signal Close,macd Ask Volume,macd_signal Bid Volume,macd Average Ask Volume per Price,HLC Avg,macd Close,Finish AskVol BidVol Diff,Cumulative Volume - Day,Close,Ask Volume Bid Volume Difference Per Tick,Bid Volume Percent,macd Bid Volume,macd Bid Volume Percent,Ask Volume,Open,High,Low"
AdaBoost_model_2023-03-30_22-53-51.pkl,"Bid Volume,macd_hist Cumulative Volume - Day,macd_hist Finish AskVol BidVol Diff,macd HLC Avg,macd_hist Cumulative Sum Of Ask Volume Bid Volume Difference - Day,Diagonal Negative Delta Sum,macd_signal Cumulative Volume - Day,macd_signal Cumulative Sum Of Ask Volume Bid Volume Difference - Day,macd_hist Ask Volume Bid Volume Difference Per Tick,macd Diagonal Negative Delta Sum,macd_hist Bid Volume,Cumulative Sum Of Ask Volume Bid Volume Difference - Day,macd_signal Diagonal Negative Delta Sum,macd Cumulative Sum Of Ask Volume Bid Volume Difference - Day,macd Cumulative Volume - Day,macd_signal Bid Volume Percent,macd_hist Close,macd_hist HLC Avg,macd_signal Finish AskVol BidVol Diff,macd_hist Bid Volume Percent,macd_signal Ask Volume Bid Volume Difference Per Tick,macd_signal Average Ask Volume per Price,macd Finish AskVol BidVol Diff,Average Ask Volume per Price,macd Ask Volume Bid Volume Difference Per Tick,macd_hist Average Ask Volume per Price,macd_signal Ask Volume,macd_signal HLC Avg,macd_hist Diagonal Negative Delta Sum,macd_hist Ask Volume,macd_signal Close,macd Ask Volume,macd_signal Bid Volume,macd Average Ask Volume per Price,HLC Avg,macd Close,Finish AskVol BidVol Diff,Cumulative Volume - Day,Close,Ask Volume Bid Volume Difference Per Tick,Bid Volume Percent,macd Bid Volume,macd Bid Volume Percent,Ask Volume,Open,High,Low"
XGBoost_model_2023-03-30_22-53-51.pkl,"Bid Volume,macd_hist Cumulative Volume - Day,macd_hist Finish AskVol BidVol Diff,macd HLC Avg,macd_hist Cumulative Sum Of Ask Volume Bid Volume Difference - Day,Diagonal Negative Delta Sum,macd_signal Cumulative Volume - Day,macd_signal Cumulative Sum Of Ask Volume Bid Volume Difference - Day,macd_hist Ask Volume Bid Volume Difference Per Tick,macd Diagonal Negative Delta Sum,macd_hist Bid Volume,Cumulative Sum Of Ask Volume Bid Volume Difference - Day,macd_signal Diagonal Negative Delta Sum,macd Cumulative Sum Of Ask Volume Bid Volume Difference - Day,macd Cumulative Volume - Day,macd_signal Bid Volume Percent,macd_hist Close,macd_hist HLC Avg,macd_signal Finish AskVol BidVol Diff,macd_hist Bid Volume Percent,macd_signal Ask Volume Bid Volume Difference Per Tick,macd_signal Average Ask Volume per Price,macd Finish AskVol BidVol Diff,Average Ask Volume per Price,macd Ask Volume Bid Volume Difference Per Tick,macd_hist Average Ask Volume per Price,macd_signal Ask Volume,macd_signal HLC Avg,macd_hist Diagonal Negative Delta Sum,macd_hist Ask Volume,macd_signal Close,macd Ask Volume,macd_signal Bid Volume,macd Average Ask Volume per Price,HLC Avg,macd Close,Finish AskVol BidVol Diff,Cumulative Volume - Day,Close,Ask Volume Bid Volume Difference Per Tick,Bid Volume Percent,macd Bid Volume,macd Bid Volume Percent,Ask Volume,Open,High,Low"
Random Forest_model_2023-04-02_14-15-49.pkl,"Volume,macd_hist MACD Diff,macd_hist Point of Control.6,macd Bottom Band.3,macd Top Band.3,Top Band.1,macd_signal Top Band.4,macd_signal Point of Control.2,macd_hist Point of Control.1,macd Bottom Band.5,macd_hist HL Avg,macd Bottom Band,macd_hist Top Band.6,macd Point of Control.2,macd Top Band.1,macd_hist Top Band,macd # of Trades,MACD,macd Top Band.6,macd Close,macd_signal # of Trades,macd_hist Middle Band.5,Close,HL Avg,Point of Control.5,macd HL Avg,macd_signal MACD Diff,Bottom Band.2,Top Band.2,# of Trades,macd_signal MA of MACD,macd_hist Top Band.2,macd_hist Top Band.3,macd_signal HL Avg,Top Band.5,Middle Band,macd_signal Bottom Band.2,macd_signal Middle Band.3,macd_hist Point of Control.2,Top Band.3,Ask Volume,Top Band,Bottom Band.3,macd Bid Volume,macd Top Band.5,Middle Band.4,macd_hist Middle Band.1,macd Bottom Band.2,macd_hist Point of Control.4,macd Top Band,macd_signal Bottom Band.1,macd_signal Top Band,macd_signal Top Band.3,macd_hist Bottom Band.2,macd_hist Point of Control,Point of Control.3,MA of MACD,macd Top Band.4,macd Bottom Band.4,macd_signal Bottom Band,macd_hist Bottom Band.4,macd_signal Bid Volume,macd_hist Middle Band.3,macd_signal Volume,macd_hist Ask Volume,macd_hist Middle Band,macd_hist Middle Band.6,macd_hist Volume,macd_hist Bottom Band.5,macd Point of Control.4,macd Middle Band.2,macd Bottom Band.6,macd_signal Bottom Band.6,macd_signal Top Band.2,macd Middle Band.4,macd Point of Control.5,macd_signal Middle Band.2,Line,Point of Control,macd Bottom Band.1,macd Ask Volume,macd Point of Control.6,macd_signal Middle Band.4,Middle Band.5,macd_signal Point of Control,macd_signal Top Band.6,MACD Diff,macd_hist Top Band.4,macd_signal Middle Band,macd_hist HLC Avg,macd_signal Bottom Band.5,macd Line,macd HLC Avg,Bid Volume,Middle Band.6,macd_signal Middle Band.5,macd_hist Point of Control.5,macd_signal Top Band.5,macd_hist MA of MACD,Point of Control.1,macd Point of Control.1,macd_signal Bottom Band.3,macd Middle Band,Bottom Band.1,Bottom Band,macd_signal Point of Control.4,macd_signal MACD,macd MACD,macd Top Band.2,macd_signal HLC Avg,macd_hist Top Band.5,macd_hist Bid Volume,macd_hist # of Trades,Middle Band.2,Middle Band.1,macd_hist Close,macd_hist Bottom Band.3,macd Middle Band.1,macd MACD Diff,macd_signal Point of Control.5,Top Band.4,macd_signal Bottom Band.4,macd_signal Middle Band.6,macd_signal Middle Band.1,Bottom Band.5,Bottom Band.4,macd Middle Band.6,Point of Control.2,macd Middle Band.5,macd MA of MACD,macd_hist Bottom Band,macd_hist Top Band.1,HLC Avg,macd_signal Ask Volume,Middle Band.3,macd_signal Close,macd Volume,macd_signal Top Band.1,macd_signal Point of Control.1,Point of Control.6,macd_hist Middle Band.2,macd_hist Bottom Band.6,macd_hist Middle Band.4,macd Point of Control,macd_hist MACD,macd_signal Point of Control.6,macd Middle Band.3,Top Band.6,Bottom Band.6,macd_hist Bottom Band.1,Open,High,Low"
AdaBoost_model_2023-04-02_14-15-49.pkl,"Volume,macd_hist MACD Diff,macd_hist Point of Control.6,macd Bottom Band.3,macd Top Band.3,Top Band.1,macd_signal Top Band.4,macd_signal Point of Control.2,macd_hist Point of Control.1,macd Bottom Band.5,macd_hist HL Avg,macd Bottom Band,macd_hist Top Band.6,macd Point of Control.2,macd Top Band.1,macd_hist Top Band,macd # of Trades,MACD,macd Top Band.6,macd Close,macd_signal # of Trades,macd_hist Middle Band.5,Close,HL Avg,Point of Control.5,macd HL Avg,macd_signal MACD Diff,Bottom Band.2,Top Band.2,# of Trades,macd_signal MA of MACD,macd_hist Top Band.2,macd_hist Top Band.3,macd_signal HL Avg,Top Band.5,Middle Band,macd_signal Bottom Band.2,macd_signal Middle Band.3,macd_hist Point of Control.2,Top Band.3,Ask Volume,Top Band,Bottom Band.3,macd Bid Volume,macd Top Band.5,Middle Band.4,macd_hist Middle Band.1,macd Bottom Band.2,macd_hist Point of Control.4,macd Top Band,macd_signal Bottom Band.1,macd_signal Top Band,macd_signal Top Band.3,macd_hist Bottom Band.2,macd_hist Point of Control,Point of Control.3,MA of MACD,macd Top Band.4,macd Bottom Band.4,macd_signal Bottom Band,macd_hist Bottom Band.4,macd_signal Bid Volume,macd_hist Middle Band.3,macd_signal Volume,macd_hist Ask Volume,macd_hist Middle Band,macd_hist Middle Band.6,macd_hist Volume,macd_hist Bottom Band.5,macd Point of Control.4,macd Middle Band.2,macd Bottom Band.6,macd_signal Bottom Band.6,macd_signal Top Band.2,macd Middle Band.4,macd Point of Control.5,macd_signal Middle Band.2,Line,Point of Control,macd Bottom Band.1,macd Ask Volume,macd Point of Control.6,macd_signal Middle Band.4,Middle Band.5,macd_signal Point of Control,macd_signal Top Band.6,MACD Diff,macd_hist Top Band.4,macd_signal Middle Band,macd_hist HLC Avg,macd_signal Bottom Band.5,macd Line,macd HLC Avg,Bid Volume,Middle Band.6,macd_signal Middle Band.5,macd_hist Point of Control.5,macd_signal Top Band.5,macd_hist MA of MACD,Point of Control.1,macd Point of Control.1,macd_signal Bottom Band.3,macd Middle Band,Bottom Band.1,Bottom Band,macd_signal Point of Control.4,macd_signal MACD,macd MACD,macd Top Band.2,macd_signal HLC Avg,macd_hist Top Band.5,macd_hist Bid Volume,macd_hist # of Trades,Middle Band.2,Middle Band.1,macd_hist Close,macd_hist Bottom Band.3,macd Middle Band.1,macd MACD Diff,macd_signal Point of Control.5,Top Band.4,macd_signal Bottom Band.4,macd_signal Middle Band.6,macd_signal Middle Band.1,Bottom Band.5,Bottom Band.4,macd Middle Band.6,Point of Control.2,macd Middle Band.5,macd MA of MACD,macd_hist Bottom Band,macd_hist Top Band.1,HLC Avg,macd_signal Ask Volume,Middle Band.3,macd_signal Close,macd Volume,macd_signal Top Band.1,macd_signal Point of Control.1,Point of Control.6,macd_hist Middle Band.2,macd_hist Bottom Band.6,macd_hist Middle Band.4,macd Point of Control,macd_hist MACD,macd_signal Point of Control.6,macd Middle Band.3,Top Band.6,Bottom Band.6,macd_hist Bottom Band.1,Open,High,Low"
XGBoost_model_2023-04-02_14-15-49.pkl,"Volume,macd_hist MACD Diff,macd_hist Point of Control.6,macd Bottom Band.3,macd Top Band.3,Top Band.1,macd_signal Top Band.4,macd_signal Point of Control.2,macd_hist Point of Control.1,macd Bottom Band.5,macd_hist HL Avg,macd Bottom Band,macd_hist Top Band.6,macd Point of Control.2,macd Top Band.1,macd_hist Top Band,macd # of Trades,MACD,macd Top Band.6,macd Close,macd_signal # of Trades,macd_hist Middle Band.5,Close,HL Avg,Point of Control.5,macd HL Avg,macd_signal MACD Diff,Bottom Band.2,Top Band.2,# of Trades,macd_signal MA of MACD,macd_hist Top Band.2,macd_hist Top Band.3,macd_signal HL Avg,Top Band.5,Middle Band,macd_signal Bottom Band.2,macd_signal Middle Band.3,macd_hist Point of Control.2,Top Band.3,Ask Volume,Top Band,Bottom Band.3,macd Bid Volume,macd Top Band.5,Middle Band.4,macd_hist Middle Band.1,macd Bottom Band.2,macd_hist Point of Control.4,macd Top Band,macd_signal Bottom Band.1,macd_signal Top Band,macd_signal Top Band.3,macd_hist Bottom Band.2,macd_hist Point of Control,Point of Control.3,MA of MACD,macd Top Band.4,macd Bottom Band.4,macd_signal Bottom Band,macd_hist Bottom Band.4,macd_signal Bid Volume,macd_hist Middle Band.3,macd_signal Volume,macd_hist Ask Volume,macd_hist Middle Band,macd_hist Middle Band.6,macd_hist Volume,macd_hist Bottom Band.5,macd Point of Control.4,macd Middle Band.2,macd Bottom Band.6,macd_signal Bottom Band.6,macd_signal Top Band.2,macd Middle Band.4,macd Point of Control.5,macd_signal Middle Band.2,Line,Point of Control,macd Bottom Band.1,macd Ask Volume,macd Point of Control.6,macd_signal Middle Band.4,Middle Band.5,macd_signal Point of Control,macd_signal Top Band.6,MACD Diff,macd_hist Top Band.4,macd_signal Middle Band,macd_hist HLC Avg,macd_signal Bottom Band.5,macd Line,macd HLC Avg,Bid Volume,Middle Band.6,macd_signal Middle Band.5,macd_hist Point of Control.5,macd_signal Top Band.5,macd_hist MA of MACD,Point of Control.1,macd Point of Control.1,macd_signal Bottom Band.3,macd Middle Band,Bottom Band.1,Bottom Band,macd_signal Point of Control.4,macd_signal MACD,macd MACD,macd Top Band.2,macd_signal HLC Avg,macd_hist Top Band.5,macd_hist Bid Volume,macd_hist # of Trades,Middle Band.2,Middle Band.1,macd_hist Close,macd_hist Bottom Band.3,macd Middle Band.1,macd MACD Diff,macd_signal Point of Control.5,Top Band.4,macd_signal Bottom Band.4,macd_signal Middle Band.6,macd_signal Middle Band.1,Bottom Band.5,Bottom Band.4,macd Middle Band.6,Point of Control.2,macd Middle Band.5,macd MA of MACD,macd_hist Bottom Band,macd_hist Top Band.1,HLC Avg,macd_signal Ask Volume,Middle Band.3,macd_signal Close,macd Volume,macd_signal Top Band.1,macd_signal Point of Control.1,Point of Control.6,macd_hist Middle Band.2,macd_hist Bottom Band.6,macd_hist Middle Band.4,macd Point of Control,macd_hist MACD,macd_signal Point of Control.6,macd Middle Band.3,Top Band.6,Bottom Band.6,macd_hist Bottom Band.1,Open,High,Low"
Random Forest_model_2023-04-10_16-29-54.pkl,"Volume,Top Band.4,Point of Control.4,Line,Point of Control,Bottom Band.5,Top Band.5,Middle Band,Bottom Band.4,Point of Control.2,Top Band.1,Middle Band.5,MACD Diff,HLC Avg,Top Band.3,Ask Volume,Top Band,Bottom Band.3,Bid Volume,Middle Band.3,Middle Band.4,Middle Band.6,MACD,Point of Control.1,Close,HL Avg,Point of Control.6,Bottom Band.1,Bottom Band,Point of Control.5,Point of Control.3,MA of MACD,Bottom Band.2,Middle Band.2,Middle Band.1,Top Band.2,Top Band.6,Bottom Band.6,# of Trades,Open,High,Low"
AdaBoost_model_2023-04-10_16-29-54.pkl,"Volume,Top Band.4,Point of Control.4,Line,Point of Control,Bottom Band.5,Top Band.5,Middle Band,Bottom Band.4,Point of Control.2,Top Band.1,Middle Band.5,MACD Diff,HLC Avg,Top Band.3,Ask Volume,Top Band,Bottom Band.3,Bid Volume,Middle Band.3,Middle Band.4,Middle Band.6,MACD,Point of Control.1,Close,HL Avg,Point of Control.6,Bottom Band.1,Bottom Band,Point of Control.5,Point of Control.3,MA of MACD,Bottom Band.2,Middle Band.2,Middle Band.1,Top Band.2,Top Band.6,Bottom Band.6,# of Trades,Open,High,Low"
XGBoost_model_2023-04-10_16-29-54.pkl,"Volume,Top Band.4,Point of Control.4,Line,Point of Control,Bottom Band.5,Top Band.5,Middle Band,Bottom Band.4,Point of Control.2,Top Band.1,Middle Band.5,MACD Diff,HLC Avg,Top Band.3,Ask Volume,Top Band,Bottom Band.3,Bid Volume,Middle Band.3,Middle Band.4,Middle Band.6,MACD,Point of Control.1,Close,HL Avg,Point of Control.6,Bottom Band.1,Bottom Band,Point of Control.5,Point of Control.3,MA of MACD,Bottom Band.2,Middle Band.2,Middle Band.1,Top Band.2,Top Band.6,Bottom Band.6,# of Trades,Open,High,Low"
Random Forest_model_2023-04-20_16-01-24.pkl,"Volume,Top Band.4,Point of Control.4,Line,Point of Control,Bottom Band.5,Top Band.5,Middle Band,Bottom Band.4,Point of Control.2,Top Band.1,Middle Band.5,MACD Diff,HLC Avg,Top Band.3,Ask Volume,Top Band,Bottom Band.3,Bid Volume,Middle Band.3,Middle Band.4,Middle Band.6,MACD,Point of Control.1,Close,HL Avg,Point of Control.6,Bottom Band.1,Bottom Band,Point of Control.5,Point of Control.3,MA of MACD,Bottom Band.2,Middle Band.2,Middle Band.1,Top Band.2,Top Band.6,Bottom Band.6,# of Trades,Open,High,Low"
AdaBoost_model_2023-04-20_16-01-24.pkl,"Volume,Top Band.4,Point of Control.4,Line,Point of Control,Bottom Band.5,Top Band.5,Middle Band,Bottom Band.4,Point of Control.2,Top Band.1,Middle Band.5,MACD Diff,HLC Avg,Top Band.3,Ask Volume,Top Band,Bottom Band.3,Bid Volume,Middle Band.3,Middle Band.4,Middle Band.6,MACD,Point of Control.1,Close,HL Avg,Point of Control.6,Bottom Band.1,Bottom Band,Point of Control.5,Point of Control.3,MA of MACD,Bottom Band.2,Middle Band.2,Middle Band.1,Top Band.2,Top Band.6,Bottom Band.6,# of Trades,Open,High,Low"
XGBoost_model_2023-04-20_16-01-24.pkl,"Volume,Top Band.4,Point of Control.4,Line,Point of Control,Bottom Band.5,Top Band.5,Middle Band,Bottom Band.4,Point of Control.2,Top Band.1,Middle Band.5,MACD Diff,HLC Avg,Top Band.3,Ask Volume,Top Band,Bottom Band.3,Bid Volume,Middle Band.3,Middle Band.4,Middle Band.6,MACD,Point of Control.1,Close,HL Avg,Point of Control.6,Bottom Band.1,Bottom Band,Point of Control.5,Point of Control.3,MA of MACD,Bottom Band.2,Middle Band.2,Middle Band.1,Top Band.2,Top Band.6,Bottom Band.6,# of Trades,Open,High,Low"
Random Forest_model_2023-05-20_11-11-03.pkl,"Volume,Top Band.4,Point of Control.4,Line,Point of Control,Bottom Band.5,Top Band.5,Middle Band,Bottom Band.4,Point of Control.2,Top Band.1,Middle Band.5,MACD Diff,HLC Avg,Top Band.3,Ask Volume,Top Band,Bottom Band.3,Bid Volume,Middle Band.3,Middle Band.4,Middle Band.6,MACD,Point of Control.1,Close,HL Avg,Point of Control.6,Bottom Band.1,Bottom Band,Point of Control.5,Point of Control.3,MA of MACD,Bottom Band.2,Middle Band.2,Middle Band.1,Top Band.2,Top Band.6,Bottom Band.6,# of Trades,Open,High,Low"
AdaBoost_model_2023-05-20_11-11-03.pkl,"Volume,Top Band.4,Point of Control.4,Line,Point of Control,Bottom Band.5,Top Band.5,Middle Band,Bottom Band.4,Point of Control.2,Top Band.1,Middle Band.5,MACD Diff,HLC Avg,Top Band.3,Ask Volume,Top Band,Bottom Band.3,Bid Volume,Middle Band.3,Middle Band.4,Middle Band.6,MACD,Point of Control.1,Close,HL Avg,Point of Control.6,Bottom Band.1,Bottom Band,Point of Control.5,Point of Control.3,MA of MACD,Bottom Band.2,Middle Band.2,Middle Band.1,Top Band.2,Top Band.6,Bottom Band.6,# of Trades,Open,High,Low"
XGBoost_model_2023-05-20_11-11-03.pkl,"Volume,Top Band.4,Point of Control.4,Line,Point of Control,Bottom Band.5,Top Band.5,Middle Band,Bottom Band.4,Point of Control.2,Top Band.1,Middle Band.5,MACD Diff,HLC Avg,Top Band.3,Ask Volume,Top Band,Bottom Band.3,Bid Volume,Middle Band.3,Middle Band.4,Middle Band.6,MACD,Point of Control.1,Close,HL Avg,Point of Control.6,Bottom Band.1,Bottom Band,Point of Control.5,Point of Control.3,MA of MACD,Bottom Band.2,Middle Band.2,Middle Band.1,Top Band.2,Top Band.6,Bottom Band.6,# of Trades,Open,High,Low"
Random Forest_model_2023-05-24_11-37-42.pkl,"Open,High,Low,Close,Volume,NumberOfTrades,BidVolume,AskVolume,ATR,RSI,AD,AROON_DOWN,AROON_UP,ADX,STOCH_K,STOCH_D,MACD,MACD_SIGNAL,HAMMER,INVERTED_HAMMER,ENGULFING"
AdaBoost_model_2023-05-24_11-37-42.pkl,"Open,High,Low,Close,Volume,NumberOfTrades,BidVolume,AskVolume,ATR,RSI,AD,AROON_DOWN,AROON_UP,ADX,STOCH_K,STOCH_D,MACD,MACD_SIGNAL,HAMMER,INVERTED_HAMMER,ENGULFING"
XGBoost_model_2023-05-24_11-37-42.pkl,"Open,High,Low,Close,Volume,NumberOfTrades,BidVolume,AskVolume,ATR,RSI,AD,AROON_DOWN,AROON_UP,ADX,STOCH_K,STOCH_D,MACD,MACD_SIGNAL,HAMMER,INVERTED_HAMMER,ENGULFING"
Random Forest_model_2023-05-24_11-59-26.pkl,"Open,High,Low,Close,Volume,NumberOfTrades,BidVolume,AskVolume,ATR,RSI,AD,AROON_DOWN,AROON_UP,ADX,STOCH_K,STOCH_D,MACD,MACD_SIGNAL,HAMMER,INVERTED_HAMMER,ENGULFING"
AdaBoost_model_2023-05-24_11-59-26.pkl,"Open,High,Low,Close,Volume,NumberOfTrades,BidVolume,AskVolume,ATR,RSI,AD,AROON_DOWN,AROON_UP,ADX,STOCH_K,STOCH_D,MACD,MACD_SIGNAL,HAMMER,INVERTED_HAMMER,ENGULFING"
XGBoost_model_2023-05-24_11-59-26.pkl,"Open,High,Low,Close,Volume,NumberOfTrades,BidVolume,AskVolume,ATR,RSI,AD,AROON_DOWN,AROON_UP,ADX,STOCH_K,STOCH_D,MACD,MACD_SIGNAL,HAMMER,INVERTED_HAMMER,ENGULFING"
